subject,body,label
re : license,"to all :
well , let me tell it to you like this ! i will never ever ever have
to study for another fricken exam ! hell yes i passed that s . o . b . i about
died when i opened the envelope b / c i couldn ' t believe it ! i am now rusty
r . glover , p . e . ! i probably won ' t know you next time i see you ! my head
was so big this morning i could barely make it through the door !
later ,
rusty r . glover , p . e .
- - - - - original message - - - - -
from : camille davis [ mailto : kcdavis @ pdq . net ]
sent : monday , january 31 , 2000 1 : 59 pm
to : glover , rusty
subject : license
did you past your test ? ? ?
camille
- attl . htm",0
valentines day help,"red - neck valentine ' s love poem
collards is green
my dog ' s name is blue
and i ' m so lucky
to have a sweet thang like you .
yore hair is like cornsilk
a - flapping in the breeze
softer than old blue ' s
and without all them fleas .
you move like the bass ,
which excite me in may .
you ain ' t got no scales
but i luv you anyway .
yo ' re as satisfy ' n as okry
jist a - fry ' n in the pan .
yo ' re as fragrant as "" snuff ""
right out of the can .
you have som ' a yore teeth ,
for which i am proud ;
i hold my head high
when we ' re in a crowd .
on special occasions ,
when you shave under yore arms ,
well , i ' m in hawg heaven ,
and awed by yore charms .
still them fellers at work ,
they all want to know ,
what i did to deserve
such a purdy , young doe .
like a good roll of duct tape
yo ' re there fer yore man ,
to patch up life ' s troubles
and fix what you can .
yo ' re as cute as a junebug
a - buzzin ' overhead .
you ain ' t mean like those far ants
i found in my bed .
cut from the best cloth
like a plaid flannel shirt ,
you spark up my life
more than a fresh load of dirt .
when you hold me real tight
like a padded gunrack ,
my life is complete ;
ain ' t nuttin ' i lack .
yore complexion , it ' s perfection ,
like the best vinyl sidin ' .
despite all the years ,
yore age , it keeps hidin ' .
me ' n ' you ' s we go together
just like a moon pie
with a rc cold drank ,
yep , we go together
like a skunk goes with stank .
some men , they buy chocolate
for valentine ' s day ;
they git it at wal - mart ,
it ' s romantic that way .
some men git roses
on that special day
from the cooler at kroger .
"" that ' s impressive , "" i say .
some men buy fine diamonds
from a flea market booth .
"" diamonds are forever , ""
they explain , suave and couth .
but for this man , honey ,
these won ' t do .
cause yo ' re too special ,
you sweet thang you .
i got you a gift ,
without taste nor odor ,
more useful than diamonds . . .
it ' s a new trollin ' motor ! !
l shore due luv you darling ,
aint love grand ! ! ! ! . . . . .
bubba",0
re : astros web site comments,"infants under the age of 2 that can rest in a parent ' s lap do not need
tickets to games .
webmasters
at 12 : 17 pm 3 / 30 / 00 - 0600 , you wrote :
> posted = thu 30 mar 2000 at 12 : 09
> subj = astros web site comments
> mailto = twinspin @ astros . com
> email =
> namefield = daren farmer
> email = dfarmer @ enron . com
> city = spring , tx
> comments = do i have to purchase a ticket for an infant ?
> x = 48
> y = 7
>",0
hr performance objectives binders,"good morning ( afternoon ) ,
today , everyone should have received a binder . some were placed in your mail
slots and others were hand delivered . if you did not receive a binder , please
email or call me for one to be delivered to you .
thank you ,
octavia
x 78351",0
shell houston open,"first come first serve :
i have :
10 shell houston open badges available . ( let ' s try to share these as best we
can . )
10 one day passes
2 invitations to tonights mardi gras party
4 tickets to this saturday ' s beauty n blues concert .
this might be a good time to remind you that this week is secretary ' s week
( since i am holding all the goodies ) just joking brenda .
yvette
x 3 . 5953",0
hey - both of you guys did a great job on janet ' s deal . the pricing was done,"correctly . the swing i wasn ' t aware of , but 5000 + - per month is not a big
deal . the problem was that offers didn ' t get stood on .",0
stacey,"darren ,
sorry to bother you during trading . this is just a follow - up e - mail re :
stacey neuweiler . we don ' t want to know the details of why stacey is going
to the dr . we just want a dr . note stating for how long she is under her dr . s
care .
thanks , hgm",0
game / uniforms,"what ' s up team ? our game this week is as 6 : 00 . let me know who is going to be
there . i would assume everyone will just leave and come back to run you
books . the jersey ' s will be done and i will have them for you . they cost
$ 25 . 00 , so try and bring the cash wed . our shirts are black with red numbers ,
everyone please try and wear black shorts so if we play like shit we ' ll at
least look good .
bryan",0
schedule / jerseys,"hello team ,
i ' m going to get the forms for the baskeball association today for everyone
to fill out . the fees are going to be $ 10 for the association and $ 10 for
the leauge entry fee . the ymca will provide jerseys for each game or we can
buy our own . let me know what you want to do . the games start next wednesday ,
i should have a schedule pretty soon .
b",0
note from ken seaman,"hi ,
?
how is the family ? ? ? ? and the multiple jobs ? ? ? ? ? ?
?
we just got back from omaha - - - linda ' s 40 th high school reunion . i wish
someone would explain to me who all those old people were that attended .
?
putting $ 1 . 85 a gallon gas in that beast of hers was sure fun . i may need a
part - time job if this keeps up long . ( just kidding - - you probably have
enough to deal with - - right )
?
jennifer has decided to journey off to law school at baylor . she and linda
are going to waco friday to finalize an apartment .
chris is managing the i - 10 texas land & cattle store . keeps him very busy .
( can ' t even send an e - mail - - - - - like someone else i know ) ( just kidding )
?
we are looking for property on a lake ( linda ' s request ) . like there is
anything like that left in texas . we will probably drop in this house .
?
pretty quiet here all things considered .
?
drop me a line or give me a call when you have some time . or if you are
really free we could actually plan a lunch . the price of natural gas should
help keep tom from hassling you too much .
?
ken",0
fun pics . htm,"-
- fun pics . htm",0
this is hillarious !,"take a minute and call ( 800 ) 578 - 7453 and listen to the greeting of the brown
& williamson tobacco company . at the point where you are asked to select an
extension , hang up .
david heineke
dheineke @ tsteel . com",0
re : table and buffet,is it very dark in color ? and how big around is it ?,0
fw : stress relief,"- - - - - original message - - - - -
from : almaguer , michael
sent : tuesday , september 19 , 2000 2 : 46 pm
to : beard , jaime ; dewey , daniel ; fletcher , thomas ; glover , rusty
subject : fw : stress relief
- - - - - original message - - - - -
from : adrienne cervantes [ mailto : acervantes @ . com ]
sent : tuesday , september 19 , 2000 1 : 19 pm
to : almaguer , michael ; dominique vidal ; maria bellwood
subject : fw : stress relief
thought this was kind of fun . play with it .
adrienne
> > > > ? > ? >
> >
>
?
- stressrelief . exe",0
lunch,"treebeard ' s
?
i am hooked . name the time and place to meet . . . . . . . . . . . . . . . . . . . . . .
?
tell ami good luck for me .
?
who would have thunk ou would be back so quickly . now we have to contend
with them , k - state , and the conference championship ( if we survive ) . i don ' t
see the big 12 being # 1 if we don ' t lighten up on each other .
?
you want a chuckle - - - - - my daughter is a big nu fan and has gone to a couple
of baylor games . ? says it ' s not quite the same as lincoln ; but the
expectations are not high .
?
let me know on lunch and i ' ll be there .
?
ken",0
hey darren,"it ' s me , kari bullington . i just thought i would drop you a line and say
hello ! ! ! how are you ?
i sure hated to hear about troy . i don ' t understand how something like that
can happen to such an all around great person .
hope to hear from you ! !
kari",0
football & more,"i ' m glad you got $ 20 from my favorite person .
?
linda has been into the nba , but i find it unexciting anymore .
?
nebraska will go to some obscure bowl , the stock market is killing me , and
this election business is nuts .
?
i believe texas should re - establish itself as a republic and i can go to the
barricades . now that gets my juices going .
?
later ,
ken",0
